Local time,Open,High,Low,Close,Volume
06.01.2021 17:00:00.000 GMT-0000,103.262,103.277,103.203,103.207,3137.6799
06.01.2021 18:00:00.000 GMT-0000,103.209,103.228,103.132,103.149,2626.5701
06.01.2021 19:00:00.000 GMT-0000,103.155,103.243,103.070,103.134,5617.9702
06.01.2021 20:00:00.000 GMT-0000,103.135,103.135,102.943,103.035,6310.1299
06.01.2021 21:00:00.000 GMT-0000,103.035,103.083,102.998,103.036,2381.9399
06.01.2021 22:00:00.000 GMT-0000,103.032,103.069,102.964,103.061,1071.66
06.01.2021 23:00:00.000 GMT-0000,103.061,103.090,103.021,103.023,4491.0098
07.01.2021 00:00:00.000 GMT-0000,103.021,103.074,102.951,103.054,5795.25
07.01.2021 01:00:00.000 GMT-0000,103.052,103.161,103.023,103.145,6031.3301
07.01.2021 02:00:00.000 GMT-0000,103.144,103.247,103.120,103.185,5920.3599
07.01.2021 03:00:00.000 GMT-0000,103.185,103.186,103.112,103.128,4712.02
07.01.2021 04:00:00.000 GMT-0000,103.127,103.153,103.094,103.126,2951.05
07.01.2021 05:00:00.000 GMT-0000,103.125,103.225,103.125,103.211,1734.87
07.01.2021 06:00:00.000 GMT-0000,103.212,103.255,103.180,103.209,2586.0801
07.01.2021 07:00:00.000 GMT-0000,103.208,103.379,103.201,103.363,6663
07.01.2021 08:00:00.000 GMT-0000,103.365,103.457,103.328,103.390,8661.8096
07.01.2021 09:00:00.000 GMT-0000,103.391,103.583,103.385,103.567,8070.54
07.01.2021 10:00:00.000 GMT-0000,103.566,103.707,103.508,103.668,7741.0298
07.01.2021 11:00:00.000 GMT-0000,103.671,103.704,103.606,103.678,6928.1602
07.01.2021 12:00:00.000 GMT-0000,103.678,103.749,103.569,103.618,6288.8301
07.01.2021 13:00:00.000 GMT-0000,103.617,103.645,103.519,103.624,6362.7598
07.01.2021 14:00:00.000 GMT-0000,103.625,103.824,103.562,103.795,11214.8301
07.01.2021 15:00:00.000 GMT-0000,103.794,103.955,103.747,103.938,9994.8096
07.01.2021 16:00:00.000 GMT-0000,103.937,103.946,103.747,103.841,6417.1299
07.01.2021 17:00:00.000 GMT-0000,103.842,103.957,103.832,103.882,3444.3
07.01.2021 18:00:00.000 GMT-0000,103.881,103.900,103.810,103.810,2391.1299
07.01.2021 19:00:00.000 GMT-0000,103.808,103.878,103.794,103.874,2846.0601
07.01.2021 20:00:00.000 GMT-0000,103.873,103.892,103.804,103.842,2548.77
07.01.2021 21:00:00.000 GMT-0000,103.841,103.862,103.791,103.794,1788.67
07.01.2021 22:00:00.000 GMT-0000,103.796,103.858,103.789,103.849,369.25
07.01.2021 23:00:00.000 GMT-0000,103.849,103.849,103.777,103.801,2784.95
08.01.2021 00:00:00.000 GMT-0000,103.801,103.877,103.769,103.844,5682.5698
08.01.2021 01:00:00.000 GMT-0000,103.844,103.999,103.841,103.890,6762.48
08.01.2021 02:00:00.000 GMT-0000,103.889,103.907,103.794,103.816,4287.5298
08.01.2021 03:00:00.000 GMT-0000,103.815,103.857,103.772,103.840,3874.27
